train,type,station_no,station,arrival_s,departure_s,arrival,departure,dwell_s,served
T13,小交路,5,站5,2258.0,2278.0,07:37:38,07:37:58,20,Y
T13,小交路,6,站6,2418.0,2438.0,07:40:18,07:40:38,20,Y
T13,小交路,7,站7,2563.0,2583.4,07:42:43,07:43:03,20.4,Y
T13,小交路,8,站8,2698.4,2718.4,07:44:58,07:45:18,20,Y
T13,小交路,9,站9,2853.4,2873.4,07:47:33,07:47:53,20,Y
T13,小交路,10,站10,2978.4,2998.4,07:49:38,07:49:58,20,Y
T14,大交路,1,站1,1872.0,1892.0,07:31:12,07:31:32,20,Y
T14,大交路,2,站2,2007.0,2027.0,07:33:27,07:33:47,20,Y
T14,大交路,3,站3,2127.0,2147.0,07:35:27,07:35:47,20,Y
T14,大交路,4,站4,2277.0,2297.0,07:37:57,07:38:17,20,Y
T14,大交路,5,站5,2402.0,2422.0,07:40:02,07:40:22,20,Y
T14,大交路,6,站6,2562.0,2582.0,07:42:42,07:43:02,20,Y
T14,大交路,7,站7,2707.0,2727.4,07:45:07,07:45:27,20.4,Y
T14,大交路,8,站8,2842.4,2862.4,07:47:22,07:47:42,20,Y
T14,大交路,9,站9,2997.4,3017.4,07:49:57,07:50:17,20,Y
T14,大交路,10,站10,3122.4,3142.4,07:52:02,07:52:22,20,Y
T14,大交路,11,站11,3262.4,3282.4,07:54:22,07:54:42,20,Y
T14,大交路,12,站12,3382.4,3402.4,07:56:22,07:56:42,20,Y
T15,小交路,4,站4,2421.0,2441.0,07:40:21,07:40:41,20,Y
T15,小交路,5,站5,2546.0,2566.0,07:42:26,07:42:46,20,Y
T15,小交路,6,站6,2706.0,2726.0,07:45:06,07:45:26,20,Y
T15,小交路,7,站7,2851.0,2871.4,07:47:31,07:47:51,20.4,Y
T15,小交路,8,站8,2986.4,3006.4,07:49:46,07:50:06,20,Y
T15,小交路,9,站9,3141.4,3161.4,07:52:21,07:52:41,20,Y
T15,小交路,10,站10,3266.4,3286.4,07:54:26,07:54:46,20,Y
T16,大交路,1,站1,2160.0,2180.0,07:36:00,07:36:20,20,Y
T16,大交路,2,站2,2295.0,2315.0,07:38:15,07:38:35,20,Y
T16,大交路,3,站3,2415.0,2435.0,07:40:15,07:40:35,20,Y
T16,大交路,4,站4,2565.0,2585.0,07:42:45,07:43:05,20,Y
T16,大交路,5,站5,2690.0,2710.0,07:44:50,07:45:10,20,Y
T16,大交路,6,站6,2850.0,2870.0,07:47:30,07:47:50,20,Y
T16,大交路,7,站7,2995.0,3015.4,07:49:55,07:50:15,20.4,Y
T16,大交路,8,站8,3130.4,3150.4,07:52:10,07:52:30,20,Y
T16,大交路,9,站9,3285.4,3305.4,07:54:45,07:55:05,20,Y
T16,大交路,10,站10,3410.4,3430.4,07:56:50,07:57:10,20,Y
T16,大交路,11,站11,3550.4,3570.4,07:59:10,07:59:30,20,Y
T16,大交路,12,站12,3670.4,3690.4,08:01:10,08:01:30,20,Y
T17,小交路,4,站4,2709.0,2729.0,07:45:09,07:45:29,20,Y
T17,小交路,5,站5,2834.0,2854.0,07:47:14,07:47:34,20,Y
T17,小交路,6,站6,2994.0,3014.0,07:49:54,07:50:14,20,Y
T17,小交路,7,站7,3139.0,3159.4,07:52:19,07:52:39,20.4,Y
T17,小交路,8,站8,3274.4,3294.4,07:54:34,07:54:54,20,Y
T17,小交路,9,站9,3429.4,3449.4,07:57:09,07:57:29,20,Y
T17,小交路,10,站10,3554.4,3574.4,07:59:14,07:59:34,20,Y
T18,大交路,1,站1,2448.0,2468.0,07:40:48,07:41:08,20,Y
T18,大交路,2,站2,2583.0,2603.0,07:43:03,07:43:23,20,Y
T18,大交路,3,站3,2703.0,2723.0,07:45:03,07:45:23,20,Y
T18,大交路,4,站4,2853.0,2873.0,07:47:33,07:47:53,20,Y
T18,大交路,5,站5,2978.0,2998.0,07:49:38,07:49:58,20,Y
T18,大交路,6,站6,3138.0,3158.0,07:52:18,07:52:38,20,Y
T18,大交路,7,站7,3283.0,3303.4,07:54:43,07:55:03,20.4,Y
T18,大交路,8,站8,3418.4,3438.4,07:56:58,07:57:18,20,Y
T18,大交路,9,站9,3573.4,3593.4,07:59:33,07:59:53,20,Y
T18,大交路,10,站10,3698.4,3718.4,08:01:38,08:01:58,20,Y
T18,大交路,11,站11,3838.4,3858.4,08:03:58,08:04:18,20,Y
T18,大交路,12,站12,3958.4,3978.4,08:05:58,08:06:18,20,Y
